ID,Income
TEST_0000,414.67252
TEST_0001,367.55154
TEST_0002,344.7317
TEST_0003,409.41553
TEST_0004,389.21805
TEST_0005,423.40924
TEST_0006,373.57327
TEST_0007,368.91016
TEST_0008,385.86926
TEST_0009,405.18875
TEST_0010,397.62753
TEST_0011,386.9595
TEST_0012,360.9568
TEST_0013,404.50958
TEST_0014,364.06866
TEST_0015,400.91983
TEST_0016,391.343
TEST_0017,401.74365
TEST_0018,400.38055
TEST_0019,388.78085
TEST_0020,400.1466
TEST_0021,401.82013
TEST_0022,384.0228
TEST_0023,389.26694
TEST_0024,372.55484
TEST_0025,409.47675
TEST_0026,405.4667
TEST_0027,390.75034
TEST_0028,393.0659
TEST_0029,380.0369
TEST_0030,372.76053
TEST_0031,393.1457
TEST_0032,398.6549
TEST_0033,372.49414
TEST_0034,413.2137
TEST_0035,401.08282
TEST_0036,367.98642
TEST_0037,345.4607
TEST_0038,393.50278
TEST_0039,375.88226
TEST_0040,358.44153
TEST_0041,398.52902
TEST_0042,399.90796
TEST_0043,407.91998
TEST_0044,407.9157
TEST_0045,438.51807
TEST_0046,405.54022
TEST_0047,384.46274
TEST_0048,383.707
TEST_0049,381.121
TEST_0050,421.32996
TEST_0051,389.04276
TEST_0052,374.35223
TEST_0053,420.33148
TEST_0054,394.06268
TEST_0055,399.75983
TEST_0056,409.88086
TEST_0057,384.51157
TEST_0058,404.17023
TEST_0059,384.7272
TEST_0060,354.90643
TEST_0061,388.01736
TEST_0062,423.78308
TEST_0063,384.8948
TEST_0064,359.31277
TEST_0065,398.17203
TEST_0066,362.77597
TEST_0067,391.4638
TEST_0068,396.3827
TEST_0069,406.48874
TEST_0070,430.20734
TEST_0071,401.995
TEST_0072,391.85577
TEST_0073,397.78912
TEST_0074,407.20575
TEST_0075,409.1687
TEST_0076,386.80573
TEST_0077,398.03067
TEST_0078,432.9812
TEST_0079,430.35522
TEST_0080,369.45895
TEST_0081,398.20938
TEST_0082,418.4034
TEST_0083,401.2086
TEST_0084,427.1032
TEST_0085,405.26135
TEST_0086,392.31818
TEST_0087,408.27313
TEST_0088,395.61407
TEST_0089,380.15088
TEST_0090,405.97433
TEST_0091,363.84985
TEST_0092,387.3026
TEST_0093,405.21695
TEST_0094,416.77316
TEST_0095,393.97543
TEST_0096,359.5519
TEST_0097,411.56284
