ID,풍속 (m/s)
TEST_00000,1.65
TEST_00001,1.15
TEST_00002,1.7
TEST_00003,1.02
TEST_00004,1.19
TEST_00005,1.38
TEST_00006,1.47
TEST_00007,1.78
TEST_00008,1.33
TEST_00009,3.47
TEST_00010,0.72
TEST_00011,0.32
TEST_00012,1.45
TEST_00013,2.61
TEST_00014,1.43
TEST_00015,0.65
TEST_00016,5.16
TEST_00017,3.99
TEST_00018,0.92
TEST_00019,4.41
TEST_00020,1.18
TEST_00021,2.08
TEST_00022,1.02
TEST_00023,3.8
TEST_00024,0.54
TEST_00025,1.93
TEST_00026,0.79
TEST_00027,0.38
TEST_00028,4.43
TEST_00029,3.89
TEST_00030,2.45
TEST_00031,0.97
TEST_00032,1.54
TEST_00033,2.73
TEST_00034,2.64
TEST_00035,3.88
TEST_00036,1.03
TEST_00037,3.32
TEST_00038,0.34
TEST_00039,4.01
TEST_00040,0.7
TEST_00041,2.36
TEST_00042,2.57
TEST_00043,1.53
TEST_00044,3.1
TEST_00045,3.48
TEST_00046,2.32
TEST_00047,1.66
TEST_00048,2.1
TEST_00049,1.29
TEST_00050,5.18
TEST_00051,1.52
TEST_00052,5.37
TEST_00053,0.94
TEST_00054,1.18
TEST_00055,1.14
TEST_00056,2.59
TEST_00057,2.7
TEST_00058,1.36
TEST_00059,1.6
TEST_00060,1.26
TEST_00061,1.47
TEST_00062,1.81
TEST_00063,1.93
TEST_00064,1.01
TEST_00065,3.7
TEST_00066,3.07
TEST_00067,0.7
TEST_00068,1.31
TEST_00069,1.03
TEST_00070,1.21
TEST_00071,1.13
TEST_00072,2.38
TEST_00073,0.62
TEST_00074,0.39
TEST_00075,0.78
TEST_00076,2.71
TEST_00077,0.4
TEST_00078,2.04
TEST_00079,0.49
TEST_00080,0.59
TEST_00081,2.19
TEST_00082,3.49
TEST_00083,0.72
TEST_00084,3.99
TEST_00085,2.29
TEST_00086,1.03
TEST_00087,1.3
TEST_00088,1.11
TEST_00089,0.95
TEST_00090,2.4
TEST_00091,2.4
TEST_00092,0.24
TEST_00093,0.68
TEST_00094,2.14
TEST_00095,1.74
TEST_00096,1.49
TEST_00097,0.94
TEST_00098,2.07
TEST_00099,1.41
TEST_00100,3.22
TEST_00101,0.87
TEST_00102,1.52
TEST_00103,3.96
TEST_00104,2.66
TEST_00105,0.58
TEST_00106,2.73
TEST_00107,1.45
TEST_00108,4.04
TEST_00109,1.24
TEST_00110,3.53
TEST_00111,1.49
TEST_00112,1.12
TEST_00113,3.34
TEST_00114,0.86
TEST_00115,1.38
TEST_00116,0.86
TEST_00117,1.13
TEST_00118,1.14
TEST_00119,2.64
TEST_00120,2.81
TEST_00121,2.32
TEST_00122,2.67
TEST_00123,1.77
TEST_00124,1.19
TEST_00125,3.32
TEST_00126,1.12
TEST_00127,1.79
TEST_00128,3.5
TEST_00129,1.78
TEST_00130,3.56
TEST_00131,0.82
TEST_00132,1.98
TEST_00133,1.23
TEST_00134,1.76
TEST_00135,1.63
TEST_00136,1.46
TEST_00137,2.93
TEST_00138,0.45
TEST_00139,1.02
TEST_00140,1.6
TEST_00141,4.91
TEST_00142,2.26
TEST_00143,0.64
TEST_00144,3.17
TEST_00145,0.73
TEST_00146,0.35
TEST_00147,0.66
TEST_00148,0.47
TEST_00149,2.06
TEST_00150,0.81
TEST_00151,0.96
TEST_00152,3.35
TEST_00153,1.38
TEST_00154,1.34
TEST_00155,0.77
TEST_00156,1.25
TEST_00157,4.11
TEST_00158,1.46
TEST_00159,3.25
TEST_00160,0.59
TEST_00161,3.08
TEST_00162,2.43
TEST_00163,2.67
TEST_00164,5.22
TEST_00165,0.29
TEST_00166,2.85
TEST_00167,4.18
TEST_00168,1.1
TEST_00169,4.4
TEST_00170,4.98
TEST_00171,2.42
TEST_00172,0.52
TEST_00173,2.74
TEST_00174,0.36
TEST_00175,0.17
TEST_00176,1.46
TEST_00177,0.48
TEST_00178,0.91
TEST_00179,1.29
TEST_00180,2.43
TEST_00181,0.77
TEST_00182,1.07
TEST_00183,1.14
TEST_00184,1.93
TEST_00185,2.25
TEST_00186,4.22
TEST_00187,1.76
TEST_00188,0.64
TEST_00189,2.97
TEST_00190,1.56
TEST_00191,1.84
TEST_00192,7.52
TEST_00193,4.38
TEST_00194,1.58
TEST_00195,3.54
TEST_00196,3.62
TEST_00197,2.24
TEST_00198,0.95
TEST_00199,1.6
TEST_00200,3.38
TEST_00201,3.15
TEST_00202,0.8
TEST_00203,2.23
TEST_00204,1.26
TEST_00205,5.65
TEST_00206,2.41
TEST_00207,3.92
TEST_00208,1.31
TEST_00209,1.56
TEST_00210,2.24
TEST_00211,0.2
TEST_00212,3.95
TEST_00213,3.55
TEST_00214,2.06
TEST_00215,5.18
TEST_00216,1.26
TEST_00217,0.74
TEST_00218,0.79
TEST_00219,0.84
TEST_00220,3.63
TEST_00221,1.53
TEST_00222,0.17
TEST_00223,3.42
TEST_00224,2.06
TEST_00225,5.05
TEST_00226,0.4
TEST_00227,2.75
TEST_00228,0.65
TEST_00229,3.51
TEST_00230,0.18
TEST_00231,3.22
TEST_00232,6.03
TEST_00233,2.1
TEST_00234,1.67
TEST_00235,3.23
TEST_00236,3.23
TEST_00237,0.34
TEST_00238,0.44
TEST_00239,3.45
TEST_00240,1.92
TEST_00241,1.46
TEST_00242,3.17
TEST_00243,1.64
TEST_00244,6.1
TEST_00245,0.47
TEST_00246,1.69
TEST_00247,3.02
TEST_00248,4.35
TEST_00249,3.28
