iter	Passed	Remaining
0	50	50819
1	77	38809
2	94	31486
3	97	24305
4	101	20113
5	102	17042
6	104	14809
7	106	13171
8	107	11858
9	109	10801
10	111	9986
11	112	9283
12	114	8682
13	115	8154
14	117	7693
15	119	7326
16	120	6979
17	122	6662
18	123	6378
19	125	6136
20	127	5930
21	129	5751
22	130	5554
23	132	5373
24	133	5208
25	135	5058
26	137	4946
27	139	4828
28	140	4699
29	141	4584
30	143	4476
31	144	4374
32	145	4277
33	147	4181
34	148	4092
35	150	4038
36	152	3958
37	153	3884
38	154	3809
39	155	3741
40	157	3693
41	159	3629
42	176	3924
43	178	3870
44	179	3806
45	180	3749
46	181	3689
47	183	3633
48	184	3583
49	186	3535
50	187	3489
51	188	3441
52	190	3405
53	192	3364
54	193	3321
55	194	3278
56	195	3237
57	196	3199
58	198	3161
59	199	3124
60	200	3091
61	201	3055
62	203	3021
63	204	2995
64	206	2963
65	207	2932
66	209	2913
67	211	2893
68	212	2865
69	214	2846
70	215	2822
71	217	2798
72	218	2774
73	219	2751
74	221	2729
75	223	2717
76	224	2697
77	226	2676
78	227	2655
79	229	2634
80	230	2614
81	232	2598
82	233	2583
83	235	2564
84	236	2543
85	237	2524
86	238	2507
87	272	2829
88	274	2807
89	275	2783
90	276	2758
91	276	2733
92	277	2708
93	278	2688
94	280	2674
95	282	2660
96	283	2640
97	284	2621
98	286	2603
99	330	2978
100	332	2957
101	333	2935
102	334	2914
103	335	2893
104	337	2873
105	339	2859
106	340	2844
107	342	2828
108	343	2808
109	344	2788
110	345	2770
111	347	2754
112	348	2736
113	349	2718
114	351	2701
115	352	2683
116	356	2690
117	357	2673
118	358	2655
119	359	2638
120	383	2785
121	387	2789
122	389	2778
123	393	2777
124	395	2766
125	397	2759
126	401	2760
127	402	2745
128	404	2729
129	405	2716
130	407	2700
131	408	2685
132	409	2669
133	411	2656
134	412	2641
135	413	2627
136	415	2614
137	416	2602
138	417	2588
139	419	2575
140	421	2570
141	426	2575
142	430	2578
143	433	2574
144	438	2586
145	440	2577
146	442	2570
147	446	2567
148	450	2575
149	453	2571
150	456	2564
151	474	2645
152	475	2632
153	476	2620
154	483	2636
155	485	2624
156	486	2611
157	487	2597
158	501	2652
159	503	2645
160	508	2647
161	510	2639
162	512	2633
163	514	2621
164	519	2627
165	523	2629
166	524	2617
167	527	2614
168	529	2605
169	531	2595
170	559	2714
171	563	2710
172	565	2704
173	568	2697
174	569	2686
175	577	2703
176	578	2691
177	580	2683
178	582	2671
179	583	2659
180	585	2648
181	587	2639
182	590	2634
183	595	2642
184	597	2632
185	599	2622
186	602	2618
187	604	2612
188	606	2604
189	608	2595
190	610	2584
191	612	2576
192	614	2568
193	616	2560
194	617	2551
195	619	2542
196	624	2544
197	625	2534
198	627	2526
199	629	2516
200	632	2514
201	634	2506
202	636	2499
203	638	2490
204	639	2481
205	641	2472
206	643	2465
207	659	2509
208	660	2500
209	666	2506
210	667	2497
211	669	2488
212	670	2479
213	672	2470
214	674	2461
215	681	2474
216	690	2492
217	692	2483
218	694	2476
219	696	2468
220	697	2459
221	698	2449
222	700	2439
223	701	2429
224	702	2419
225	703	2410
226	704	2400
227	706	2391
228	707	2383
229	710	2377
230	712	2370
231	714	2365
232	716	2358
233	720	2359
234	722	2351
235	745	2413
236	747	2406
237	748	2397
238	750	2390
239	752	2382
240	765	2411
241	768	2406
242	769	2398
243	771	2389
244	772	2381
245	774	2373
246	777	2368
247	778	2360
248	780	2353
249	781	2345
250	784	2341
251	792	2351
252	794	2346
253	795	2337
254	797	2329
255	798	2320
256	799	2312
257	801	2304
258	802	2296
259	804	2290
260	807	2285
261	808	2278
262	810	2272
263	814	2271
264	817	2266
265	819	2260
266	825	2264
267	827	2259
268	830	2256
269	833	2254
270	853	2295
271	872	2336
272	875	2330
273	877	2324
274	894	2358
275	896	2351
276	898	2344
277	899	2336
278	901	2328
279	902	2320
280	904	2313
281	905	2306
282	907	2299
283	908	2291
284	914	2293
285	916	2286
286	917	2279
287	919	2272
288	922	2268
289	924	2264
290	927	2260
291	929	2253
292	931	2248
293	933	2241
294	935	2235
295	938	2233
296	940	2226
297	942	2220
298	944	2214
299	982	2292
300	986	2291
301	988	2284
302	989	2276
303	991	2269
304	992	2262
305	993	2253
306	995	2246
307	996	2238
308	997	2230
309	999	2225
310	1001	2219
311	1004	2215
312	1006	2209
313	1008	2202
314	1011	2200
315	1013	2193
316	1015	2186
317	1016	2180
318	1019	2176
319	1021	2171
320	1024	2166
321	1025	2159
322	1027	2152
323	1032	2155
324	1034	2149
325	1036	2143
326	1038	2136
327	1040	2131
328	1042	2125
329	1044	2119
330	1047	2117
331	1049	2111
332	1051	2105
333	1070	2134
334	1074	2132
335	1076	2126
336	1078	2120
337	1082	2119
338	1085	2117
339	1087	2111
340	1089	2104
341	1090	2097
342	1091	2090
343	1092	2083
344	1093	2075
345	1094	2068
346	1097	2064
347	1099	2059
348	1101	2054
349	1103	2049
350	1105	2043
351	1110	2043
352	1113	2040
353	1115	2035
354	1118	2032
355	1122	2029
356	1125	2027
357	1133	2033
358	1136	2028
359	1138	2023
360	1139	2017
361	1141	2012
362	1145	2009
363	1147	2005
364	1149	1999
365	1150	1993
366	1152	1987
367	1154	1982
368	1173	2007
369	1178	2005
370	1183	2006
371	1184	2000
372	1186	1994
373	1187	1987
374	1188	1980
375	1189	1974
376	1191	1968
377	1192	1962
378	1194	1957
379	1206	1968
380	1220	1982
381	1222	1977
382	1228	1978
383	1229	1972
384	1230	1966
385	1246	1983
386	1248	1977
387	1252	1974
388	1253	1969
389	1256	1965
390	1258	1959
391	1259	1953
392	1260	1947
393	1262	1941
394	1267	1941
395	1268	1935
396	1270	1929
397	1271	1923
398	1273	1917
399	1274	1911
400	1276	1906
401	1277	1900
402	1279	1895
403	1280	1889
404	1282	1883
405	1284	1878
406	1285	1872
407	1286	1866
408	1288	1862
409	1290	1856
410	1291	1850
411	1292	1845
412	1294	1839
413	1296	1834
414	1298	1829
415	1310	1839
416	1314	1838
417	1317	1833
418	1318	1828
419	1322	1825
420	1325	1823
421	1327	1818
422	1334	1820
423	1336	1815
424	1338	1810
425	1339	1804
426	1343	1802
427	1351	1806
428	1353	1801
429	1355	1796
430	1357	1792
431	1360	1788
432	1363	1785
433	1365	1780
