ID,Income
TEST_0000,
TEST_0001,
TEST_0002,542.99945
TEST_0003,480.64557
TEST_0004,
TEST_0005,455.65833
TEST_0006,428.6211
TEST_0007,
TEST_0008,
TEST_0009,646.01117
TEST_0010,638.5532
TEST_0011,649.0027
TEST_0012,423.80603
TEST_0013,625.10297
TEST_0014,
TEST_0015,638.4447
TEST_0016,619.2657
TEST_0017,643.4951
TEST_0018,489.99106
TEST_0019,641.4529
TEST_0020,657.2737
TEST_0021,644.8975
TEST_0022,
TEST_0023,555.4751
TEST_0024,
TEST_0025,591.35565
TEST_0026,637.50446
TEST_0027,640.82874
TEST_0028,
TEST_0029,563.452
TEST_0030,
TEST_0031,519.8846
TEST_0032,619.7882
TEST_0033,
TEST_0034,638.6244
TEST_0035,
TEST_0036,
TEST_0037,475.0902
TEST_0038,648.85046
TEST_0039,
TEST_0040,431.24323
TEST_0041,648.85046
TEST_0042,657.2736
TEST_0043,524.3203
TEST_0044,435.87512
TEST_0045,619.6018
TEST_0046,631.0182
TEST_0047,622.01807
TEST_0048,443.40408
TEST_0049,
TEST_0050,
TEST_0051,572.97174
TEST_0052,527.87286
TEST_0053,535.39343
TEST_0054,562.7915
TEST_0055,559.6898
TEST_0056,638.6244
TEST_0057,
TEST_0058,614.6549
TEST_0059,644.89764
TEST_0060,466.08783
TEST_0061,502.5514
TEST_0062,551.09454
TEST_0063,
TEST_0064,494.34894
TEST_0065,406.1221
TEST_0066,
TEST_0067,449.61542
TEST_0068,577.17584
TEST_0069,638.6244
TEST_0070,
TEST_0071,619.7882
TEST_0072,642.0726
TEST_0073,651.56744
TEST_0074,640.401
TEST_0075,484.62964
TEST_0076,619.2657
TEST_0077,562.7915
TEST_0078,
TEST_0079,645.39557
TEST_0080,
TEST_0081,649.0027
TEST_0082,
TEST_0083,
TEST_0084,614.6549
TEST_0085,643.7106
TEST_0086,605.90283
TEST_0087,646.0112
TEST_0088,517.7808
TEST_0089,
TEST_0090,597.85876
TEST_0091,
TEST_0092,428.45142
TEST_0093,420.51788
TEST_0094,552.3646
TEST_0095,419.1163
TEST_0096,562.7915
TEST_0097,474.48544
TEST_0098,660.4503
TEST_0099,648.85046
TEST_0100,
TEST_0101,421.6584
TEST_0102,596.6543
TEST_0103,
TEST_0104,577.17584
TEST_0105,
TEST_0106,637.50446
TEST_0107,468.1496
TEST_0108,619.7882
TEST_0109,432.81824
TEST_0110,
TEST_0111,442.3557
TEST_0112,
TEST_0113,640.401
TEST_0114,572.838
TEST_0115,
TEST_0116,513.0737
TEST_0117,494.02234
TEST_0118,508.68213
TEST_0119,426.53305
TEST_0120,637.2073
TEST_0121,637.2464
TEST_0122,637.2464
TEST_0123,594.8031
TEST_0124,
TEST_0125,558.1954
TEST_0126,
TEST_0127,638.4447
TEST_0128,437.52646
TEST_0129,660.4503
TEST_0130,631.0182
TEST_0131,630.335
TEST_0132,411.20377
TEST_0133,638.4447
TEST_0134,638.6244
TEST_0135,562.7915
TEST_0136,553.94824
TEST_0137,642.0726
TEST_0138,
TEST_0139,461.64807
TEST_0140,645.39557
TEST_0141,660.4504
TEST_0142,559.6898
TEST_0143,
TEST_0144,618.4404
TEST_0145,638.4447
TEST_0146,
TEST_0147,648.8505
TEST_0148,622.85547
TEST_0149,
TEST_0150,536.0157
TEST_0151,577.17584
TEST_0152,520.41943
TEST_0153,614.65485
TEST_0154,643.4951
TEST_0155,604.47723
TEST_0156,640.401
TEST_0157,
TEST_0158,563.452
TEST_0159,
TEST_0160,440.53873
TEST_0161,638.4447
TEST_0162,406.58405
TEST_0163,426.989
TEST_0164,
TEST_0165,432.4423
TEST_0166,495.4464
TEST_0167,453.0215
TEST_0168,
TEST_0169,637.50446
TEST_0170,533.1917
TEST_0171,541.5574
TEST_0172,469.30197
TEST_0173,549.55536
TEST_0174,
TEST_0175,637.2073
TEST_0176,494.02234
TEST_0177,
TEST_0178,
TEST_0179,529.19763
TEST_0180,596.6071
TEST_0181,473.70074
TEST_0182,563.452
TEST_0183,619.7882
TEST_0184,637.24646
TEST_0185,562.7915
TEST_0186,640.82874
TEST_0187,
TEST_0188,607.69025
TEST_0189,426.989
TEST_0190,645.39557
TEST_0191,556.32904
TEST_0192,640.401
TEST_0193,494.6817
TEST_0194,640.40106
TEST_0195,413.2407
TEST_0196,
TEST_0197,607.69025
TEST_0198,475.5405
TEST_0199,373.07416
TEST_0200,
